TAXON;aphiaID;Kingdom;Phylum;Subphylum;Class;Subclass;Superorder;Order;Family;Genus;Subkingdom;Infrakingdom;Species;Infraphylum;Subfamily;Superclass;Suborder;Phylum (Division);Subgenus;Subphylum (Subdivision);Variety;Forma;Infraclass;Subterclass;Superfamily;rank
Protoperidinium pallidum;110244;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium pallidum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium parviventer;233045;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium parviventer;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium pellucidum;110245;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium pellucidum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium pentagonum;110247;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium pentagonum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium punctulatum;110248;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium punctulatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium pyriforme;110249;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium pyriforme;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium pyriformia-group;109394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Protoperidinium quarnerense;110250;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium quarnerense;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium steinii;110257;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium steinii;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium subinerme;110259;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium subinerme;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Protoperidinium thorianum;110260;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Protoperidinium;Harosa;Alveolata;Protoperidinium thorianum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Prymnesiales;115061;Chromista;Haptophyta;Haptophytina;Coccolithophyceae;Prymnesiophycidae;NA;Prymnesiales;NA;NA;Hacrobia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Prymnesium neolepis;624966;Chromista;Haptophyta;Haptophytina;Coccolithophyceae;Prymnesiophycidae;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Hacrobia;NA;Prymnesium neolepis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Prymnesium polylepis;670030;Chromista;Haptophyta;Haptophytina;Coccolithophyceae;Prymnesiophycidae;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Hacrobia;NA;Prymnesium polylepis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Psammodictyon;149216;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Psammodictyon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Psammodictyon panduriforme;149217;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Psammodictyon;NA;NA;Psammodictyon panduriforme;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseliodinium;109458;Chromista;Myzozoa;Dinozoa;Dinoflagellata incertae sedis;NA;NA;NA;NA;Pseliodinium;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pseliodinium fusus;1474876;Chromista;Myzozoa;Dinozoa;Dinoflagellata incertae sedis;NA;NA;NA;NA;Pseliodinium;Harosa;Alveolata;Pseliodinium fusus;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia;149151;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pseudo-nitzschia americana;478556;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia americana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia australis;246604;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia australis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia delicatissima;149153;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia delicatissima;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia fraudulenta;246606;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia fraudulenta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia heimii;411764;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia heimii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia multistriata;246608;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia multistriata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia pseudodelicatissima;156548;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia pseudodelicatissima;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia pungens;160528;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia pungens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia seriata;149152;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia seriata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudonitzschia spp.;149151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pseudo-nitzschia subcurvata;411767;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia subcurvata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudo-nitzschia subpacifica;418222;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;NA;NA;Pseudo-nitzschia subpacifica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudopedinella;160599;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Pedinellales;Actinomonadaceae;Pseudopedinella;Harosa;Heterokonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pseudopedinella pyriformis;160600;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Pedinellales;Actinomonadaceae;Pseudopedinella;Harosa;Heterokonta;Pseudopedinella pyriformis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudopodosira westii;577639;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Melosirales;Melosiraceae;Pseudopodosira;NA;NA;Pseudopodosira westii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pseudoscourfieldia;134534;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pseudoscourfieldiales;Pycnococcaceae;Pseudoscourfieldia;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Genus
Pseudoscourfieldiales;368707;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pseudoscourfieldiales;NA;NA;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Order
Pseudosolenia;163342;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Pseudosolenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pseudosolenia calcar-avis;163344;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Pseudosolenia;NA;NA;Pseudosolenia calcar-avis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pterosperma;160595;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pterospermataceae;Pterosperma;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Genus
Pterosperma cristatum;376081;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pterospermataceae;Pterosperma;Viridiplantae;NA;Pterosperma cristatum;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pterosperma cuboides;376690;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pterospermataceae;Pterosperma;Viridiplantae;NA;Pterosperma cuboides;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pterosperma moebii;345882;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pterospermataceae;Pterosperma;Viridiplantae;NA;Pterosperma moebii;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pterosperma polygonum;341610;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pterospermataceae;Pterosperma;Viridiplantae;NA;Pterosperma polygonum;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pyramimonadaceae;368883;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pyramimonadaceae;NA;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Family
Pyramimonadaceae < 10 µm;368883;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pyramimonadophyceae;886274;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;NA;NA;NA;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Class
Pyramimonas;134529;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Genus
Pyramimonas longicauda;160513;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Viridiplantae;NA;Pyramimonas longicauda;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pyramimonas obovata;376151;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Viridiplantae;NA;Pyramimonas obovata;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pyramimonas parkeae;495287;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Viridiplantae;NA;Pyramimonas parkeae;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Pyrocystis;109571;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Pyrocystis;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pyrocystis lunula;164053;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Pyrocystis;Harosa;Alveolata;Pyrocystis lunula;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pyrocystis pseudonoctiluca;573782;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Pyrocystis;Harosa;Alveolata;Pyrocystis pseudonoctiluca;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pyrophacus;109555;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrophacaceae;Pyrophacus;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pyrophacus horologium;232598;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrophacaceae;Pyrophacus;Harosa;Alveolata;Pyrophacus horologium;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Radiozoa;582421;Chromista;Radiozoa;NA;NA;NA;NA;NA;NA;NA;Harosa;Rhizaria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Raphidophyceae;160581;Chromista;Ochrophyta;NA;Raphidophyceae;NA;NA;NA;NA;NA;Harosa;Heterokonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Rhabdonema;157072;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Rhabdonematales;Rhabdonemataceae;Rhabdonema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Rhabdonema adriaticum;157074;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Rhabdonematales;Rhabdonemataceae;Rhabdonema;NA;NA;Rhabdonema adriaticum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhabdonema arcuatum;157076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rhabdonema minutum;175790;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Rhabdonematales;Rhabdonemataceae;Rhabdonema;NA;NA;Rhabdonema minutum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhaphoneis;149065;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycidae incertae sedis;Rhaponeidales;Rhaphoneidaceae;Rhaphoneis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Rhaphoneis amphiceros;149066;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycidae incertae sedis;Rhaponeidales;Rhaphoneidaceae;Rhaphoneis;NA;NA;Rhaphoneis amphiceros;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia;149069;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Rhizosolenia antennata;387331;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia antennata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia bergonii;196811;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia bergonii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia calcar avis;662038;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia calcar avis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia calcar-avis;163346;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia calcar-avis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia castracanei;248062;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia castracanei;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia cylindrus;163242;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia cylindrus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia debyana;410020;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia debyana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia flaccida;160530;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia flaccida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia formosa;418569;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia formosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia hebatata;704677;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia hebatata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia hebetata;149070;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia hebetata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia hebetata f. semispina;149071;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia hebetata;NA;NA;NA;NA;NA;NA;NA;NA;Rhizosolenia hebetata f. semispina;NA;NA;NA;Forma
Rhizosolenia imbricata;149116;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia imbricata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia imbricata var. shrubsolei;149225;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia imbricata;NA;NA;NA;NA;NA;NA;NA;Rhizosolenia imbricata var. shrubsolei;NA;NA;NA;NA;Variety
Rhizosolenia indica;231887;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia indica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia pungens;149117;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia pungens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia robusta;149311;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia robusta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia setigera;149115;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia setigera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia setigera f. pungens;547544;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia setigera;NA;NA;NA;NA;NA;NA;NA;NA;Rhizosolenia setigera f. pungens;NA;NA;NA;Forma
Rhizosolenia styliformis;149629;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia styliformis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosolenia temperei;248071;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;NA;NA;Rhizosolenia temperei;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rhizosoleniaceae;149068;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Rhizosoleniales;149067;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Rhoicosphenia;149391;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Cymbellales;Rhoicospheniaceae;Rhoicosphenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Richelia;370179;Bacteria;Cyanobacteria;NA;Cyanophyceae;Nostocophycidae;NA;Nostocales;Rivulariaceae;Richelia;Negibacteria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Roperia tesselata;149105;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscanae;Coscinodiscales;Hemidiscaceae;Roperia;NA;NA;Roperia tesselata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Salpingacantha;425634;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Choreotrichida;Tintinnidae;Salpingacantha;Harosa;Alveolata;NA;NA;NA;NA;Tintinnina;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Salpingella;183566;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Choreotrichida;Tintinnidae;Salpingella;Harosa;Alveolata;NA;NA;NA;NA;Tintinnina;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Scaphodinium mirabile;109916;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Noctilucales;Leptodiscaceae;Scaphodinium;Harosa;Alveolata;Scaphodinium mirabile;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Scenedesmaceae;160541;Plantae;NA;NA;Chlorophyceae;NA;NA;Sphaeropleales;Scenedesmaceae;NA;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;NA;Family
Scenedesmus;160602;Plantae;NA;NA;Chlorophyceae;NA;NA;Sphaeropleales;Scenedesmaceae;Scenedesmus;Viridiplantae;NA;NA;NA;Scenedesmoideae;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;NA;Genus
